x;horodate;conso;prod
90;2017-01-02 21:00:00;48626,996082315076;644,7423304694732
91;2017-01-02 21:30:00;47266,40171024663;644,7423304694732
92;2017-01-02 22:00:00;55604,966109952424;645,701411337961
93;2017-01-02 22:30:00;54816,95150593849;642,8241687324978
94;2017-01-02 23:00:00;53491,72272701401;639,9469261270348
95;2017-01-02 23:30:00;51784,72950697808;640,9060069955225
96;2017-01-03 00:00:00;50136,440509573345;642,837211533549
97;2017-01-03 00:30:00;48497,695967847845;644,7423304694732
98;2017-01-03 01:00:00;57629,84733112635;641,8650878640101
99;2017-01-03 01:30:00;55421,185590317735;638,0287643900595
100;2017-01-03 02:00:00;53591,56965250206;634,1924409161086
101;2017-01-03 02:30:00;51757,23686206432;631,3151983106457
102;2017-01-03 03:00:00;58502,66852807229;628,4379557051825
103;2017-01-03 03:30:00;57011,359621227675;625,5607130997195
104;2017-01-03 04:00:00;55144,657438291375;625,5607130997195
105;2017-01-03 04:30:00;54225,53614286457;625,5607130997195
106;2017-01-03 05:00:00;54200,43800115355;626,5197939682071
107;2017-01-03 05:30:00;53142,22781870188;624,6016322312317
108;2017-01-03 06:00:00;50785,69918283094;626,5197939682071
109;2017-01-03 06:30:00;52854,20735556606;628,4379557051825
110;2017-01-03 07:00:00;53608,831265643035;631,3151983106457
111;2017-01-03 07:30:00;54671,88271851555;635,1515217845963
112;2017-01-03 08:00:00;52440,38497065227;754,5090451102576
113;2017-01-03 08:30:00;52142,21569080316;5408,868916456219
114;2017-01-03 09:00:00;51815,75394126811;14850,922885118267
115;2017-01-03 09:30:00;51060,207925898234;26488,70716187984
116;2017-01-03 10:00:00;49786,71477965132;37266,98120235926
117;2017-01-03 10:30:00;49021,040483714314;46649,51573075483
118;2017-01-03 11:00:00;48397,68415755866;54332,147401195194
119;2017-01-03 11:30:00;48007,91514071344;59394,05577586514
120;2017-01-03 12:00:00;46525,05273685351;62054,09569526875
121;2017-01-03 12:30:00;44415,131139652105;62796,2484246205
122;2017-01-03 13:00:00;53648,89875757367;61793,609804255895
123;2017-01-03 13:30:00;51188,28608559226;58857,25203383985
124;2017-01-03 14:00:00;48234,05302951737;53363,93002702131
125;2017-01-03 14:30:00;45411,547172945066;44728,55834930175
126;2017-01-03 15:00:00;51939,29992353752;33886,05126605399
127;2017-01-03 15:30:00;51225,44248521303;23004,798408148785
128;2017-01-03 16:00:00;48764,98392119452;12876,140695596945
129;2017-01-03 16:30:00;48920,26170729435;4464,544894183618
130;2017-01-03 17:00:00;48502,76465157309;779,3436193066581
131;2017-01-03 17:30:00;52236,096772625126;646,6604922064487
132;2017-01-03 18:00:00;53989,8569903171;645,701411337961
133;2017-01-03 18:30:00;55580,43082027188;646,6604922064487
134;2017-01-03 19:00:00;55565,046482028825;647,6195730749363
135;2017-01-03 19:30:00;54454,086941408896;647,6195730749363
136;2017-01-03 20:00:00;53608,002200102565;647,6195730749363
137;2017-01-03 20:30:00;52129,088717911596;647,6195730749363
138;2017-01-03 21:00:00;50100,822637692116;647,6195730749363
139;2017-01-03 21:30:00;48587,64009062979;647,6195730749363
140;2017-01-03 22:00:00;57581,64186562059;647,6195730749363
141;2017-01-03 22:30:00;56494,42550970606;646,6604922064487
142;2017-01-03 23:00:00;55487,19923953578;647,6195730749363
143;2017-01-03 23:30:00;53747,344401553244;648,578653943424
144;2017-01-04 00:00:00;51127,97181246106;648,578653943424
145;2017-01-04 00:30:00;50403,401741781534;647,6195730749363
146;2017-01-04 01:00:00;61141,22785137313;645,701411337961
147;2017-01-04 01:30:00;59129,31281008759;643,7832496009855
148;2017-01-04 02:00:00;55917,713764274165;641,8650878640101
149;2017-01-04 02:30:00;54421,00355613322;639,9469261270348
150;2017-01-04 03:00:00;61704,79471274569;634,1924409161086
151;2017-01-04 03:30:00;59437,10796217175;628,4379557051825
152;2017-01-04 04:00:00;57212,821893661836;625,5607130997195
153;2017-01-04 04:30:00;56797,08234763259;622,6834704942564
154;2017-01-04 05:00:00;56527,47393221788;620,765308757281
155;2017-01-04 05:30:00;56143,72477593436;619,8062278887933
156;2017-01-04 06:00:00;53249,55325651397;620,765308757281
157;2017-01-04 06:30:00;54819,85849819169;623,6425513627441
158;2017-01-04 07:00:00;55652,66078173867;626,5197939682071
159;2017-01-04 07:30:00;56744,83095891448;629,3970365736702
160;2017-01-04 08:00:00;54973,3223474032;772,7624024897609
161;2017-01-04 08:30:00;54878,81551477677;5304,895537812592
162;2017-01-04 09:00:00;54539,36246575931;14213,745865667588
163;2017-01-04 09:30:00;53554,23399024122;25408,542780858006
164;2017-01-04 10:00:00;52265,36469602317;35891,09357689957
165;2017-01-04 10:30:00;51222,303969291905;44454,69632044387
166;2017-01-04 11:00:00;50048,54018977211;51348,50561009226
167;2017-01-04 11:30:00;49094,734935799686;57350,509045389634
168;2017-01-04 12:00:00;47164,3197867499;60663,33312567055
169;2017-01-04 12:30:00;45019,04848877239;62186,953649385105
170;2017-01-04 13:00:00;54102,89387345144;62193,264475702155
171;2017-01-04 13:30:00;52076,41524866391;59377,22874826243
172;2017-01-04 14:00:00;49517,468386719935;53760,52537491116
173;2017-01-04 14:30:00;46969,53151647134;45424,46307444796
174;2017-01-04 15:00:00;53598,14914203904;35175,13494390813
175;2017-01-04 15:30:00;52349,07038696821;24304,517966905125
176;2017-01-04 16:00:00;49302,819140234176;14076,579975694623
177;2017-01-04 16:30:00;49253,47207004988;5260,319128318134
178;2017-01-04 17:00:00;48407,72001075669;874,6987388240572
179;2017-01-04 17:30:00;52205,083759113804;632,2742791791333
180;2017-01-04 18:00:00;53375,361248172616;634,1924409161086
181;2017-01-04 18:30:00;54527,64162214038;636,110602653084
182;2017-01-04 19:00:00;54843,784247474934;637,0696835215717
183;2017-01-04 19:30:00;53722,553298184415;637,0696835215717
184;2017-01-04 20:00:00;52745,24815018673;638,9878452585472
185;2017-01-04 20:30:00;51027,50743465178;638,9878452585472
186;2017-01-04 21:00:00;49746,70985915417;638,0287643900595
187;2017-01-04 21:30:00;47868,844313816655;638,0287643900595
188;2017-01-04 22:00:00;57008,488369090555;635,1515217845963
189;2017-01-04 22:30:00;56193,50077640239;636,110602653084
190;2017-01-04 23:00:00;54553,01259241302;636,110602653084
191;2017-01-04 23:30:00;52504,66423462369;638,0287643900595
192;2017-01-05 00:00:00;49952,23231230857;638,9878452585472
193;2017-01-05 00:30:00;48544,507584305975;634,1924409161086
194;2017-01-05 01:00:00;59255,9510136108;631,3151983106457
195;2017-01-05 01:30:00;57607,99346789968;626,5197939682071
196;2017-01-05 02:00:00;54883,250991619156;624,6016322312317
197;2017-01-05 02:30:00;53177,7919648045;623,6425513627441
198;2017-01-05 03:00:00;59853,21098455346;623,6425513627441
199;2017-01-05 03:30:00;57838,666902542056;622,6834704942564
200;2017-01-05 04:00:00;56078,06953672759;622,6834704942564
201;2017-01-05 04:30:00;54834,881173914495;623,6425513627441
202;2017-01-05 05:00:00;54479,5856605105;621,7243896257687
203;2017-01-05 05:30:00;53568,647977634595;624,6016322312317
204;2017-01-05 06:00:00;50966,380993238534;623,6425513627441
205;2017-01-05 06:30:00;53058,73519229563;624,6016322312317
206;2017-01-05 07:00:00;53735,16143691885;627,4788748366948
207;2017-01-05 07:30:00;55020,81314934904;631,3151983106457
